feature,positive_impact,negative_impact,total_impact
Age_SystolicBP,0.18088698,-0.18716073,0.36804855
MAP,0.14949803,-0.1594416,0.30894005
BMI_MetabolicVascularLoad,0.14892977,-0.14354092,0.29247087
Age_Years,0.081645116,-0.07767221,0.15931754
Age_HemodynamicLoad_Chol,0.07730811,-0.066478565,0.1437869
BMI,0.046652276,-0.04515186,0.091804095
Pulse_Pressure,0.03961731,-0.043391496,0.08300882
BP_Group,0.029379077,-0.032845024,0.062224116
Cholesterol_Level,0.0285749,-0.033381432,0.061956298
Physical_Activity,0.026192622,-0.029376585,0.05556942
Glucose_Level,0.031341847,-0.017459743,0.048801575
Sex,0.019577907,-0.01945328,0.039031282
Smoking_Status,0.0153979,-0.015757186,0.03115507
Alcohol_Intake,0.010042192,-0.010260082,0.020302298
