feature,positive_impact,negative_impact,total_impact
Age_SystolicBP,0.24516547873546418,-0.3126275887823067,0.5577930675177719
BMI_MetabolicVascularLoad,0.24942888617071338,-0.2173900358579065,0.46681892202862135
Age_HemodynamicLoad_Chol,0.08317837886131801,-0.08993615923427005,0.17311453809558838
MAP_Group,0.061334498059731096,-0.07065596582202512,0.1319904638817568
Age_Group,0.08675293843752864,-0.04137590790637858,0.12812884634390703
BP_Group,0.04287664707392934,-0.05483975531530074,0.0977164023892302
PP_Group,0.034278333041569166,-0.03906839770904509,0.07334673075061404
BMI_Group,0.03533669114658457,-0.02287918136247551,0.058215872509060206
Cholesterol_Level,0.025218128593586638,-0.03217376427433119,0.0573918928679178
Physical_Activity,0.0274585950816657,-0.02891057484402463,0.05636916992569013
Sex,0.026132549085225727,-0.026024081258581768,0.05215663034380755
Glucose_Level,0.03296299072419642,-0.018449933318473707,0.0514129240426701
Smoking_Status,0.01792448330585201,-0.01777295836111637,0.03569744166696831
Alcohol_Intake,0.01180886180281246,-0.011224714006034534,0.023033575808846993
