feature,positive_impact,negative_impact,total_impact
Age_SystolicBP,0.2608455,-0.30968177,0.57052916
BMI_MetabolicVascularLoad,0.21336593,-0.18203044,0.39539653
MAP_Group,0.06949116,-0.070089266,0.1395805
Age_HemodynamicLoad_Chol,0.06331369,-0.065874256,0.12918778
Age_Group,0.07133978,-0.04101878,0.112358585
BP_Group,0.0417809,-0.060012363,0.1017932
PP_Group,0.030512141,-0.03384707,0.06435917
Physical_Activity,0.026667539,-0.029766517,0.056434296
Cholesterol_Level,0.023673426,-0.028558712,0.05223213
Glucose_Level,0.034829583,-0.01686554,0.05169526
BMI_Group,0.029226806,-0.0173987,0.046625543
Sex,0.021927198,-0.021244876,0.043172136
Smoking_Status,0.015392136,-0.01696718,0.032359287
Alcohol_Intake,0.010994432,-0.011340365,0.022334801
