feature_code,feature,importance,positive_impact,negative_impact
Systolic_BP,Systolic Blood Pressure,0.50819501744927,0.25607279202445665,-0.25212222542481416
Low_Risk_Paradox_Score,Low-Risk Paradox Score,0.31826104965355256,0.16801035454437246,-0.1502506951091802
Systolic_Age_risk,Systolic-Age Risk,0.24334559349312138,0.12212425955625483,-0.12122133393686702
Cholesterol_Level,Cholesterol Level,0.17543245707192687,0.08144396945758835,-0.0939884876143374
Age_Years,Age (Years),0.09452468431978261,0.04780228665535531,-0.046722397664427255
Metabolic_Syndrome_Score,Metabolic Syndrome Score,0.07172653052695811,0.03958440210788473,-0.03214212841907344
Physical_Activity,Physical Activity,0.058180249602411235,0.029701787228996215,-0.028478462373415017
Diastolic_Age_risk,Diastolic-Age Risk,0.0554971474292724,0.021348512822669054,-0.03414863460660329
BMI,Body Mass Index,0.05338886121730887,0.027403852085296825,-0.02598500913201219
Glucose_Level,Glucose Level,0.05275742157514921,0.026903784164091917,-0.02585363741105718
Diastolic_BP,Diastolic Blood Pressure,0.0523192911294032,0.026174569489313532,-0.026144721640089543
Smoking_Status,Smoking Status,0.025078597391917958,0.012670200018081714,-0.012408397373836278
Sex,Sex,0.023856281868553153,0.011032852286896575,-0.012823429581656491
Alcohol_Intake,Alcohol Intake,0.01885321347707261,0.009208526065024326,-0.009644687412048304
