iter	Passed	Remaining
0	18	7422
1	32	6455
2	40	5305
3	46	4638
4	53	4246
5	61	4036
6	68	3826
7	76	3740
8	83	3608
9	90	3531
10	97	3456
11	104	3389
12	111	3332
13	118	3270
14	128	3288
15	138	3317
16	146	3305
17	155	3305
18	163	3287
19	172	3268
20	179	3232
21	186	3196
22	195	3196
23	202	3177
24	210	3161
25	217	3129
26	225	3112
27	231	3074
28	238	3056
29	245	3026
30	251	2995
31	259	2979
32	265	2952
33	272	2938
34	279	2912
35	285	2887
36	293	2874
37	299	2850
38	307	2842
39	314	2827
40	321	2813
41	327	2792
42	333	2772
43	342	2770
44	348	2750
45	355	2738
46	362	2720
47	368	2705
48	376	2697
49	383	2681
50	390	2674
51	397	2658
52	404	2647
53	410	2629
54	417	2618
55	425	2615
56	431	2598
57	440	2596
58	446	2581
59	453	2571
60	460	2556
61	466	2541
62	474	2538
63	480	2525
64	488	2518
65	494	2504
66	502	2496
67	509	2485
68	515	2471
69	523	2467
70	529	2454
71	537	2448
72	545	2441
73	552	2436
74	559	2424
75	566	2413
76	573	2407
77	580	2397
78	589	2393
79	596	2387
80	604	2382
81	612	2375
82	620	2371
83	627	2361
84	634	2351
85	641	2341
86	647	2329
87	655	2322
88	661	2311
89	668	2302
90	674	2291
91	681	2280
92	688	2273
93	695	2262
94	702	2254
95	708	2244
96	715	2235
97	722	2227
98	728	2216
99	736	2209
100	743	2201
101	751	2194
102	757	2184
103	764	2174
104	771	2167
105	777	2157
106	785	2149
107	791	2140
108	798	2131
109	805	2123
110	811	2113
111	819	2106
112	825	2097
113	832	2088
114	838	2078
115	845	2070
116	853	2063
117	859	2053
118	866	2046
119	874	2040
120	882	2035
121	889	2026
122	895	2016
123	903	2010
124	909	2000
125	917	1994
126	923	1985
127	930	1977
128	939	1973
129	947	1967
130	954	1960
131	960	1951
132	969	1945
133	976	1939
134	985	1934
135	992	1927
136	1001	1922
137	1008	1915
138	1017	1910
139	1023	1900
140	1030	1892
141	1037	1884
142	1043	1876
143	1052	1870
144	1058	1861
145	1065	1854
146	1072	1845
147	1079	1837
148	1086	1830
149	1092	1821
150	1101	1816
151	1107	1807
152	1115	1800
153	1121	1791
154	1127	1782
155	1135	1775
156	1141	1767
157	1150	1761
158	1157	1753
159	1164	1746
160	1170	1737
161	1177	1730
162	1184	1722
163	1191	1714
164	1198	1706
165	1204	1698
